Channel,Year,Month,Sessions,Engaged sessions,Engagement rate,Event count
Direct,2022,May,114686,57415,0.5223951715357142,1019490
Organic Search,2022,May,124467,87154,0.7025677086428572,1403767
Organic Shopping,2022,May,322,198,0.6298032532857143,3944
Organic Social,2022,May,19166,11862,0.6201225556071428,154276
Organic Video,2022,May,258,158,0.6408863575,2700
Paid Other,2022,May,9,4,0.35714285714285715,50
Paid Search,2022,May,105480,78351,0.7452068495714286,1297667
Paid Shopping,2022,May,947,573,0.6078948632857142,7556
Direct,2022,June,114188,57617,0.5147602406,1002905
Organic Search,2022,June,148130,102576,0.6926261447333334,1682680
Organic Shopping,2022,June,1503,574,0.43507266093333335,10937
Organic Social,2022,June,25075,16820,0.6700140008333334,213865
Organic Video,2022,June,386,245,0.6392445710000001,4249
Paid Other,2022,June,1,0,0.0,4
Paid Search,2022,June,129777,94841,0.730674402,1571504
Paid Shopping,2022,June,1146,650,0.5310241759333334,10035
Cross-network,2022,July,2,0,0.0,8
Direct,2022,July,112748,59571,0.5279166155483871,1022038
Organic Search,2022,July,153759,105269,0.6844877863548388,1715436
Organic Shopping,2022,July,2210,904,0.4051188757096774,15625
Organic Social,2022,July,23840,15265,0.6448300788709678,199292
Organic Video,2022,July,778,574,0.7061726170967743,8148
Paid Other,2022,July,9,6,0.5714285714285714,61
Paid Search,2022,July,129089,95336,0.7384422289032258,1589999
Paid Shopping,2022,July,13572,8629,0.6343560573548388,109712
Cross-network,2022,August,5542,3641,0.6236011319285714,43744
Direct,2022,August,97502,48516,0.5070717222692308,785754
Organic Search,2022,August,138167,94568,0.6845386453076923,1388483
Organic Shopping,2022,August,2322,950,0.41073624203846154,14536
Organic Social,2022,August,21041,13183,0.6279980573076924,153347
Organic Video,2022,August,634,421,0.662984575576923,5152
Paid Other,2022,August,2,1,0.5,94
Paid Search,2022,August,104302,77838,0.7465701126538461,1202227
Paid Shopping,2022,August,16238,9993,0.5774796861153846,120106
Cross-network,2022,September,23853,14518,0.6132302198,158758
Direct,2022,September,137214,65045,0.4823592586666667,959428
Organic Search,2022,September,201141,132644,0.6684697561333334,1626650
Organic Shopping,2022,September,3323,1275,0.38530645353333337,18534
Organic Social,2022,September,31601,15921,0.5323683316,186258
Organic Video,2022,September,1056,605,0.5907935487666667,7002
Paid Other,2022,September,15,7,0.4814814814444444,73
Paid Search,2022,September,154348,110456,0.7253046005666667,1412230
Paid Shopping,2022,September,3023,1653,0.5355434034333334,20513
Cross-network,2022,October,16375,9894,0.5392451115483871,95733
Direct,2022,October,175312,78552,0.4490069246774194,1072767
Organic Search,2022,October,295051,187095,0.6343134357741935,1895842
Organic Shopping,2022,October,2953,1067,0.3512284652580645,14792
Organic Social,2022,October,39047,19665,0.505836665483871,213926
Organic Video,2022,October,1087,657,0.5996955956129032,6350
Paid Other,2022,October,8,6,0.6666666666666666,74
Paid Search,2022,October,234858,161738,0.688992076967742,1664151
Paid Shopping,2022,October,1245,621,0.39823931467741935,7356
Cross-network,2022,November,29192,18190,0.6210329984,178586
Direct,2022,November,195484,88781,0.4522588804666666,1218729
Organic Search,2022,November,297819,187913,0.6309691306666667,1921859
Organic Shopping,2022,November,2453,759,0.30601908516666665,11555
Organic Social,2022,November,69887,34893,0.5127443583333333,381752
Organic Video,2022,November,1508,884,0.5987587166333334,8617
Paid Other,2022,November,17,7,0.2777777778333333,68
Paid Search,2022,November,245009,167625,0.684142174,1766026
Paid Shopping,2022,November,310,39,0.09122184376666667,1098
Cross-network,2022,December,30363,18794,0.6197714329032258,182024
Direct,2022,December,177155,82068,0.4704660545483871,1094005
Organic Search,2022,December,280737,175064,0.6249053398064517,1805394
Organic Shopping,2022,December,2776,646,0.22883474622580646,12030
Organic Social,2022,December,55544,27522,0.4978955023225807,296850
Organic Video,2022,December,1424,827,0.6104954039677419,8469
Paid Other,2022,December,5,2,0.3333333333333333,21
Paid Search,2022,December,232257,158082,0.6809782504516129,1670477
Paid Shopping,2022,December,218,15,0.05503367603225806,688
Cross-network,2023,January,42676,26800,0.6293599326451613,252484
Direct,2023,January,211812,94888,0.44910092912903227,1278623
Organic Search,2023,January,312976,197160,0.6302530804516129,2006886
Organic Shopping,2023,January,5270,1911,0.34472176332258064,26841
Organic Social,2023,January,43055,24812,0.5887790486129032,249115
Organic Video,2023,January,1404,869,0.6156362286774194,9237
Paid Search,2023,January,260484,178797,0.6866483316129033,1887584
Paid Shopping,2023,January,239,16,0.04747242006451612,839
Cross-network,2023,February,36733,22752,0.6171144448571428,219484
Direct,2023,February,202677,90408,0.45348814846428576,1255613
Organic Search,2023,February,304024,194804,0.6405834784285714,1975331
Organic Shopping,2023,February,7398,3152,0.4254891330357143,40788
Organic Social,2023,February,32185,18347,0.6031976703214286,206490
Organic Video,2023,February,1539,964,0.6229430684999999,10160
Paid Other,2023,February,56,3,0.03409090909090909,171
Paid Search,2023,February,240260,164820,0.6861502150357143,1774105
Paid Shopping,2023,February,208,25,0.07025117739285715,713
Cross-network,2023,March,48571,29875,0.6160372605483871,284463
Direct,2023,March,221092,97992,0.44311800683870967,1324902
Organic Search,2023,March,342665,215491,0.6287794953870968,2168169
Organic Shopping,2023,March,8224,3302,0.40152588061290323,43653
Organic Social,2023,March,54940,27194,0.49302280961290323,322583
Organic Video,2023,March,2784,1570,0.555999771516129,15766
Paid Other,2023,March,1908,128,0.06391334122580646,5901
Paid Search,2023,March,258339,176894,0.6851931415483871,1839670
Paid Shopping,2023,March,110,4,0.03064516129032258,388
Cross-network,2023,April,30481,19792,0.6545794082333334,220377
Direct,2023,April,184064,95052,0.5153790826666667,1424877
Organic Search,2023,April,165270,106361,0.6467855224333333,1339425
Organic Shopping,2023,April,4933,1996,0.40329298906666666,27849
Organic Social,2023,April,21071,11626,0.5760837937000001,136788
Organic Video,2023,April,1383,796,0.5965821178666667,11361
Paid Other,2023,April,702,70,0.11219349543333333,2241
Paid Search,2023,April,122366,86610,0.7097978498666666,1175180
Paid Shopping,2023,April,44,8,0.16477272727272727,225
Cross-network,2023,May,32091,21248,0.6615428739354839,244372
Direct,2023,May,200274,108724,0.5442913073870969,1589631
Organic Search,2023,May,173397,111802,0.6449251482580645,1443437
Organic Shopping,2023,May,3135,1030,0.32161332183870966,13571
Organic Social,2023,May,13131,8489,0.6524974538709677,97090
Organic Video,2023,May,1282,739,0.5790580397741936,9638
Paid Other,2023,May,59,12,0.17424242420833333,199
Paid Search,2023,May,109638,77422,0.706242397483871,1123455
Paid Shopping,2023,May,28,6,0.16176470588235295,99
Cross-network,2023,June,27702,18670,0.6737888237333334,214854
Direct,2023,June,202097,101544,0.5060048041,1555023
Organic Search,2023,June,159814,103348,0.6466264498333333,1336982
Organic Shopping,2023,June,2510,532,0.2149997535,10557
Organic Social,2023,June,13498,9430,0.6936763112333334,103020
Organic Video,2023,June,1105,667,0.5801550645,8588
Paid Other,2023,June,36,4,0.04666666665,114
Paid Search,2023,June,100735,70588,0.7008914559,1022811
Paid Shopping,2023,June,21,6,0.30952380949999997,82
Cross-network,2023,July,28615,19328,0.6730478012903226,274381
Direct,2023,July,198585,100001,0.5057264408709677,1787532
Organic Search,2023,July,172334,112243,0.6517266559354838,1672209
Organic Shopping,2023,July,2080,473,0.22887088067741937,10100
Organic Social,2023,July,12080,8389,0.6930211864516129,109311
Organic Video,2023,July,1569,1036,0.6486379688709678,13808
Paid Other,2023,July,74,9,0.08678160915,281
Paid Search,2023,July,108887,77061,0.7081347178387097,1293900
Paid Shopping,2023,July,419,264,0.5321088676,3482
Cross-network,2023,August,34217,23290,0.6798254253870968,343314
Direct,2023,August,225179,110206,0.48879191506451614,2116582
Organic Search,2023,August,189720,124227,0.6549680066129032,1987725
Organic Shopping,2023,August,2693,573,0.21434431838709678,13526
Organic Social,2023,August,15825,10881,0.7111421153548387,146063
Organic Video,2023,August,1676,977,0.5933138439354838,15333
Paid Other,2023,August,716,127,0.19629939667741936,3144
Paid Search,2023,August,132820,93487,0.7043826785483871,1648033
Paid Shopping,2023,August,1400,903,0.707825221,13682
Cross-network,2023,September,34734,24016,0.6907720978,373444
Direct,2023,September,198577,94788,0.4815449563666666,1974701
Organic Search,2023,September,173707,115034,0.6623034108666667,1926975
Organic Shopping,2023,September,3305,615,0.20733598993333333,16983
Organic Social,2023,September,5879,3931,0.6633483920666666,57969
Organic Video,2023,September,1148,675,0.5857712021666667,11933
Paid Other,2023,September,344,47,0.1810439044,1639
Paid Search,2023,September,116137,82855,0.7133772842,1529990
Paid Shopping,2023,September,9030,4922,0.5440705840666666,70580
Cross-network,2023,October,40447,26631,0.6555983113548387,532060
Direct,2023,October,196768,104127,0.5398817658064516,2364783
Organic Search,2023,October,214565,137304,0.6399039616774194,2896169
Organic Shopping,2023,October,2863,684,0.30241131796774195,17403
Organic Social,2023,October,8078,5415,0.6554281516774194,105790
Organic Video,2023,October,820,514,0.6353892364838709,10341
Paid Other,2023,October,97,52,0.30870439076190476,1276
Paid Search,2023,October,147399,101784,0.6852631951935484,2374830
Paid Shopping,2023,October,9962,5549,0.5658707731290322,101381
Cross-network,2023,November,42466,28934,0.6804609687333334,530483
Direct,2023,November,207632,111441,0.5406755821333333,2466112
Organic Search,2023,November,212313,138150,0.6505107267333333,2716410
Organic Shopping,2023,November,4135,803,0.19440017303333335,21867
Organic Social,2023,November,14233,9889,0.6965015674666667,185540
